Make,Model,Cylinder,Trans as listed in FE Guide (derived from col AA thru AF),CityMPG,HighwayMPG,CombinedMPG,Air Aspir Method,Air Aspiration Method Desc,Transmission,Drive,Drive Desc,Fuel,Fuel Usage Desc - Conventional Fuel,Cost,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Carline Class,Carline Class Desc,Release Date,CityCO2,HighwayCO2,CombinedCO2
Audi,S4,6,Auto(AM-S7),18,28,21,SC,Supercharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2700,2700,4,Compact Cars,6/9/2014,488,321,413
Audi,S4,6,Manual(M6),17,26,20,SC,Supercharged,Manual,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2850,2850,4,Compact Cars,6/9/2014,519,341,439
Audi,A6,4,Auto(AV-S8),25,33,28,TC,Turbocharged,Selectable Continuously Variable (e.g. CVT with paddles),F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2050,2050,5,Midsize Cars,6/9/2014,360,272,320
Audi,A6 quattro,4,Auto(S8),20,29,23,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2500,2500,5,Midsize Cars,6/9/2014,452,306,386
Audi,A6 quattro,6,Auto(S8),18,27,22,SC,Supercharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2600,2600,5,Midsize Cars,6/9/2014,482,326,412
Audi,A6 quattro,6,Auto(S8),24,38,29,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,DU,"Diesel, ultra low sulfur (15 ppm, maximum)",1950,1950,5,Midsize Cars,6/10/2014,416,267,349
Audi,A7 quattro,6,Auto(S8),18,28,21,SC,Supercharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2700,2700,5,Midsize Cars,6/9/2014,493,321,416
Audi,A7 quattro,6,Auto(S8),24,38,29,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,DU,"Diesel, ultra low sulfur (15 ppm, maximum)",1950,1950,5,Midsize Cars,6/10/2014,416,267,349
Audi,A8,6,Auto(S8),19,29,22,SC,Supercharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2600,2600,5,Midsize Cars,5/15/2014,473,303,397
Audi,A8,8,Auto(S8),18,30,22,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2600,2600,5,Midsize Cars,5/15/2014,484,299,401
Audi,RS7,8,Auto(S8),16,27,19,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3000,3000,5,Midsize Cars,6/2/2014,573,336,466
Audi,S6,8,Auto(AM-S7),17,27,20,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2850,2850,5,Midsize Cars,6/2/2014,531,330,441
Audi,S7,8,Auto(AM-S7),17,27,20,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2850,2850,5,Midsize Cars,6/2/2014,531,330,441
Audi,S8,8,Auto(S8),17,27,20,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2850,2850,5,Midsize Cars,5/15/2014,534,331,442
Audi,A8L,6,Auto(S8),24,36,28,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,DU,"Diesel, ultra low sulfur (15 ppm, maximum)",2000,2000,6,Large Cars,5/15/2014,426,280,360
Audi,A8L,6,Auto(S8),19,29,22,SC,Supercharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2600,2600,6,Large Cars,5/15/2014,473,303,397
Audi,A8L,8,Auto(S8),18,29,22,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2600,2600,6,Large Cars,5/15/2014,492,310,410
Audi,A8L,12,Auto(S8),14,22,17,NA,Naturally Aspirated,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3350,3350,6,Large Cars,5/15/2014,640,403,534
Audi,allroad quattro,4,Auto(S8),21,28,24,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2400,2400,7,Small Station Wagons,6/9/2014,421,315,373
Audi,Q5,4,Auto(S8),20,28,23,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2500,2500,31,Small SUV 4WD,6/9/2014,452,322,393
Audi,Q5,6,Auto(S8),18,26,21,SC,Supercharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2700,2700,31,Small SUV 4WD,6/9/2014,496,347,429
Audi,Q5,6,Auto(S8),24,31,27,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,DU,"Diesel, ultra low sulfur (15 ppm, maximum)",2100,2100,31,Small SUV 4WD,6/10/2014,430,328,385
Audi,Q5 Hybrid,4,Auto(S8),24,30,26,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2200,2200,31,Small SUV 4WD,6/9/2014,369,298,337
Audi,SQ5,6,Auto(S8),17,24,19,SC,Supercharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3000,3000,31,Small SUV 4WD,6/9/2014,528,373,458
Audi,Q7,6,Auto(S8),19,28,22,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,DU,"Diesel, ultra low sulfur (15 ppm, maximum)",2550,2550,33,Standard SUV 4WD,6/2/2014,541,369,464
Audi,Q7,6,Auto(S8),16,22,18,SC,Supercharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3150,3150,33,Standard SUV 4WD,6/9/2014,570,409,498
Bentley,Continental GT Convertible,8,Auto(S8),14,24,17,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3350,3350,3,Subcompact Cars,3/28/2014,638,370,517
Bentley,Continental GT Convertible,12,Auto(S8),12,20,15,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3800,3800,3,Subcompact Cars,5/15/2014,736,443,604
Bentley,Continental GT,8,Auto(S8),15,25,19,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3000,3000,4,Compact Cars,3/28/2014,580,347,475
